Index,BirdID,Condition,Note,NoteX,NbNotes,SimilarityMean,SimilarityMedian,Entropy
96,b86g86,baseline,c,False,399,0.6855415957551474,0.6959748750865603,2.698
97,b86g86,baseline,d,False,391,0.6731389841226108,0.6845893640372482,2.721
98,b86g86,baseline,e,False,254,0.7440828010709661,0.7716340380834361,2.698
99,b86g86,baseline,f,False,254,0.6035310731416075,0.6192613929577998,2.661
100,b86g86,BMI,i,False,807,0.6193553417453479,0.6277050797587157,2.679
101,b86g86,BMI,a,False,351,0.46800222441227396,0.4640152304675439,2.78
102,b86g86,BMI,c,False,669,0.4768641043250868,0.4631301149016446,2.781
103,b86g86,BMI,d,False,626,0.6241448907398036,0.6268557841687481,2.724
104,b86g86,BMI,e,False,374,0.5505438007877954,0.5807958111979932,2.755
105,b86g86,BMI,f,False,367,0.5079370325519883,0.49035903330648256,2.757
106,b86g86,BMI,b,False,647,0.5334216678770007,0.5517088066011768,2.78
107,b86g86,BMI,x,True,216,0.5626353431558527,0.5781129663282669,2.72
